,Unnamed: 0,Contestant,Season,Team,Total Sales
0,0,Javier Colon,1,Team Adam,0
1,1,Vicci Martinez,1,Team CeeLo,0
2,2,Beverly McClellan,1,Team Christina,0
3,3,Dia Frampton,1,Team Blake,0
4,4,Casey Weston,1,Team Adam,0
5,5,Nakia,1,Team CeeLo,0
6,6,Frenchie Davis,1,Team Christina,0
7,7,Xenia,1,Team Blake,0
8,8,Jeff Jenkins,1,Team Adam,0
9,9,Curtis Grimes,1,Team CeeLo,0
10,10,Lily Elise,1,Team Christina,0
11,11,Jared Blake,1,Team Blake,0
12,12,Devon Barley,1,Team Adam,0
13,13,The Thompson Sisters,1,Team CeeLo,0
14,14,Raquel Castro,1,Team Christina,0
15,15,Patrick Thomas,1,Team Blake,0
16,16,Tony Lucca,2,Team Adam,0
17,17,Juliet Simms,2,Team CeeLo,0
18,18,Chris Mann,2,Team Christina,0
19,19,Jermaine Paul,2,Team Blake,0
20,20,Katrina Parker,2,Team Adam,0
21,21,Jamar Rogers,2,Team CeeLo,0
22,22,Lindsey Pavao,2,Team Christina,0
23,23,Erin Willett,2,Team Blake,2
24,24,Mathai,2,Team Adam,0
25,25,Cheesa,2,Team CeeLo,0
26,26,Ashley de La Rosa,2,Team Christina,0
27,27,RaeLynn,2,Team Blake,776
28,28,Pip,2,Team Adam,80
29,29,James Massone,2,Team CeeLo,0
30,30,Jesse Campbell,2,Team Christina,0
31,31,Jordis Unga,2,Team Blake,0
32,32,Karla Davis,2,Team Adam,0
33,33,Erin Martin,2,Team CeeLo,0
34,34,Moses Stone,2,Team Christina,0
35,35,Charlotte Sometimes,2,Team Blake,0
36,36,Kim Yarbrough,2,Team Adam,0
37,37,Tony Vincent,2,Team CeeLo,0
38,38,Sera Hill,2,Team Christina,0
39,39,Naia Kete,2,Team Blake,0
40,40,Amanda Brown,3,Team Adam,0
41,41,Nicholas David,3,Team CeeLo,0
42,42,Dez Duron,3,Team Christina,0
43,43,Cassadee Pope,3,Team Blake,756
44,44,Melanie Martinez,3,Team Adam,720
45,45,Trevin Hunte,3,Team CeeLo,0
46,46,Sylvia Yacoub,3,Team Christina,0
47,47,Terry McDermott,3,Team Blake,0
48,48,Bryan Keith,3,Team Adam,0
49,49,Cody Belew,3,Team CeeLo,0
50,50,Adriana Louise,3,Team Christina,0
51,51,Michaela Paige,3,Team Blake,0
52,52,Loren Allred,3,Team Adam,0
53,53,MacKenzie Bourg,3,Team CeeLo,47
54,54,De'Borah,3,Team Christina,0
55,55,Julio Cesar Castillo,3,Team Blake,0
56,56,Joselyn Rivera,3,Team Adam,0
57,57,Diego Val,3,Team CeeLo,0
58,58,Devyn DeLoera,3,Team Christina,0
59,59,Liz Davis,3,Team Blake,0
60,60,Amber Carrington,4,Team Adam,0
61,61,Sasha Allen,4,Team Shakira,0
62,62,Michelle Chamuel,4,Team Usher,17
63,63,Danielle Bradbery,4,Team Blake,373
64,64,Judith Hill,4,Team Adam,3
65,65,Kris Thomas,4,Team Shakira,0
66,66,Josiah Hawley,4,Team Usher,0
67,67,The Swon Brothers,4,Team Blake,177
68,68,Sarah Simmons,4,Team Adam,0
69,69,Garrett Gardner,4,Team Shakira,0
70,70,VEDO,4,Team Usher,0
71,71,Holly Tucker,4,Team Blake,0
72,72,Caroline Glaser,4,Team Adam,0
73,73,Karina Iglesias,4,Team Shakira,0
74,74,CÃ¡thia,4,Team Usher,0
75,75,Justin Rivers,4,Team Blake,0
76,76,Tessanne Chin,5,Team Adam,280
77,77,Caroline Pennell,5,Team CeeLo,133
78,78,Jacquie Lee,5,Team Christina,112
79,79,Cole Vosbury,5,Team Blake,134
80,80,Will Champlin,5,Team Adam,64
81,81,Kat Robichaud,5,Team CeeLo,19
82,82,Matthew Schuler,5,Team Christina,307
83,83,Ray Boundreaux,5,Team Blake,0
84,84,James Wolpert,5,Team Adam,81
85,85,Jonny Gray,5,Team CeeLo,0
86,86,Josh Logan,5,Team Christina,0
87,87,Austin Jenckes,5,Team Blake,0
88,88,Grey,5,Team Adam,1198
89,89,Tamara Chauniece,5,Team CeeLo,0
90,90,Olivia Henken,5,Team Christina,0
91,91,Nic Hawk,5,Team Blake,0
92,92,Preston Pohl,5,Team Adam,58
93,93,Amber Nicole,5,Team CeeLo,0
94,94,Stephanie Anne Johnson,5,Team Christina,0
95,95,Shelbie Z,5,Team Blake,0
96,96,Christina Grimmie,6,Team Adam,353
97,97,Kristen Merlin,6,Team Shakira,0
98,98,Josh Kaufman,6,Team Usher,241
99,99,Jake Worthington,6,Team Blake,84
100,100,Kat Perkins,6,Team Adam,0
101,101,Tess Boyer,6,Team Shakira,0
102,102,Bria Kelly,6,Team Usher,0
103,103,Sisaundra Lewis,6,Team Blake,0
104,104,Delvin Choice,6,Team Adam,0
105,105,Dani Moz,6,Team Shakira,0
106,106,T.J. Wilkins,6,Team Usher,0
107,107,Audra McLaughlin,6,Team Blake,0
108,108,Matt McAndrew,7,Team Adam,718
109,109,Taylor John Williams,7,Team Gwen,211
110,110,DaNica Shirey,7,Team Pharrell,21
111,111,Craig Wayne Boyd,7,Team Blake,355
112,112,Chris Jamison,7,Team Adam,283
113,113,Ryan Sill,7,Team Gwen,13
114,114,Luke Wade,7,Team Pharrell,60
115,115,Reagan James,7,Team Blake,22
116,116,Damien,7,Team Adam,165
117,117,Anita Antoinette,7,Team Gwen,37
118,118,Sugar Joans,7,Team Pharrell,7
119,119,Jessie Pitts,7,Team Blake,31
120,120,Mia Pfirrman,7,Team Adam,9
121,121,Ricky Manning,7,Team Gwen,23
122,122,Jean Kelley,7,Team Pharrell,19
123,123,Taylor Brashears,7,Team Blake,0
124,124,Taylor Phelan,7,Team Adam,58
125,125,Bryana Salaz,7,Team Gwen,6
126,126,Elyjuh RenÃ©,7,Team Pharrell,8
127,127,James David Carter,7,Team Blake,30
128,128,Joshua Davis,8,Team Adam,179
129,129,Sawyer Fredericks,8,Team Pharrell,872
130,130,India Carney,8,Team Christina,78
131,131,Meghan Linsey,8,Team Blake,258
132,132,Deanna Johnson,8,Team Adam,46
133,133,Koryn Hawthorne,8,Team Pharrell,143
134,134,Kimberly Nichole,8,Team Christina,99
135,135,Hannah Kirby,8,Team Blake,2
