,Contestant,Season,Team
0,Javier Colon,1,Team Adam
1,Vicci Martinez,1,Team CeeLo
2,Beverly McClellan,1,Team Christina
3,Dia Frampton,1,Team Blake
4,Casey Weston,1,Team Adam
5,Nakia,1,Team CeeLo
6,Frenchie Davis,1,Team Christina
7,Xenia,1,Team Blake
8,Jeff Jenkins,1,Team Adam
9,Curtis Grimes,1,Team CeeLo
10,Lily Elise,1,Team Christina
11,Jared Blake,1,Team Blake
12,Devon Barley,1,Team Adam
13,The Thompson Sisters,1,Team CeeLo
14,Raquel Castro,1,Team Christina
15,Patrick Thomas,1,Team Blake
16,Tony Lucca,2,Team Adam
17,Juliet Simms,2,Team CeeLo
18,Chris Mann,2,Team Christina
19,Jermaine Paul,2,Team Blake
20,Katrina Parker,2,Team Adam
21,Jamar Rogers,2,Team CeeLo
22,Lindsey Pavao,2,Team Christina
23,Erin Willett,2,Team Blake
24,Mathai,2,Team Adam
25,Cheesa,2,Team CeeLo
26,Ashley de La Rosa,2,Team Christina
27,RaeLynn,2,Team Blake
28,Pip,2,Team Adam
29,James Massone,2,Team CeeLo
30,Jesse Campbell,2,Team Christina
31,Jordis Unga,2,Team Blake
32,Karla Davis,2,Team Adam
33,Erin Martin,2,Team CeeLo
34,Moses Stone,2,Team Christina
35,Charlotte Sometimes,2,Team Blake
36,Kim Yarbrough,2,Team Adam
37,Tony Vincent,2,Team CeeLo
38,Sera Hill,2,Team Christina
39,Naia Kete,2,Team Blake
40,Amanda Brown,3,Team Adam
41,Nicholas David,3,Team CeeLo
42,Dez Duron,3,Team Christina
43,Cassadee Pope,3,Team Blake
44,Melanie Martinez,3,Team Adam
45,Trevin Hunte,3,Team CeeLo
46,Sylvia Yacoub,3,Team Christina
47,Terry McDermott,3,Team Blake
48,Bryan Keith,3,Team Adam
49,Cody Belew,3,Team CeeLo
50,Adriana Louise,3,Team Christina
51,Michaela Paige,3,Team Blake
52,Loren Allred,3,Team Adam
53,MacKenzie Bourg,3,Team CeeLo
54,De'Borah,3,Team Christina
55,Julio Cesar Castillo,3,Team Blake
56,Joselyn Rivera,3,Team Adam
57,Diego Val,3,Team CeeLo
58,Devyn DeLoera,3,Team Christina
59,Liz Davis,3,Team Blake
60,Amber Carrington,4,Team Adam
61,Sasha Allen,4,Team Shakira
