,name,Top 100,end,change
0,Katy Perry - Roar,7,300k,
1,Lorde - Royals,7,295k,
2,Miley Cyrus - Wrecking Ball,7,312k,
3,Avicii - Wake Me Up,7,207k,
4,Lady Gaga - Applause,7,155k,
5,Katy Perry - Dark Horse,6,202k,
6,"Drake - Hold On, We're Going Home",7,146k,
7,Eminem - Berzerk,7,142k,
8,JAY Z - Holy Grail,7,131k,
9,Justin Timberlake - TKO,3,74k,
10,Luke Bryan - That's My Kind of Night,7,102k,
11,Robin Thicke - Blurred Lines,7,100k,
12,Maejor Ali - Lolly,6,131k,
13,OneRepublic - Counting Stars,7,64k,
14,Ylvis - The Fox,6,53k,
15,AWOLNATION - Sail,7,66k,
16,Britney Spears - Work Bitch,7,173k,
17,Miley Cyrus - We Can't Stop,7,73k,
18,Capital Cities - Safe and Sound,7,64k,
19,Imagine Dragons - Radioactive,7,57k,
20,Lana Del Rey & Cedric Gervais - Summertime Sadness,7,64k,
21,Drake - Wu-Tang Forever,7,91k,
22,Imagine Dragons - Monster,5,52k,
23,Passenger - Let Her Go,7,50k,
24,One Direction - Best Song Ever,7,41k,
25,Tyler Farr - Redneck Crazy,7,49k,
26,Thomas Rhett - It Goes Like This,7,47k,
27,Sage the Gemini - Gas Pedal,7,41k,
28,Sara Bareilles - Brave,7,40k,
29,Paramore - Still Into You,7,44k,
30,Linkin Park & Steve Aoki - A LIGHT THAT NEVER COME...,7,55k,
31,Lana Del Rey - Summertime Sadness,7,39k,
32,Macklemore & Ryan Lewis - Same Love,7,41k,
33,Bruno Mars - Treasure,7,39k,
34,Bruno Mars - Gorilla,7,34k,
35,Billy Currington - Hey Girl,7,32k,
36,Imagine Dragons - Demons,7,34k,
37,Florida Georgia Line - Cruise,7,36k,
38,Robin Thicke - Give It 2 U,7,40k,
39,Zedd - Clarity,7,41k,
40,Daughtry - Waiting For Superman,6,56k,
41,Jason Aldean - Night Train,7,37k,
42,Zendaya - Replay,6,24k,
43,"Phillip Phillips - Gone, Gone, Gone",7,33k,
44,Anna Kendrick - Cups,7,34k,
45,Selena Gomez - Slow Down,7,30k,
46,Justin Timberlake - Mirrors,7,31k,
47,Blake Shelton - Mine Would Be You,7,35k,
48,Taylor Swift - Everything Has Changed,7,31k,
49,Chris Young - Aw Naw,7,32k,
50,Big Sean - Beware,7,34k,
51,Daft Punk - Get Lucky,7,29k,
52,Florida Georgia Line - Round Here,7,33k,
53,The Neighbourhood - Sweater Weather,7,27k,
54,Luke Bryan - Crash My Party,7,27k,
55,Justin Timberlake - Take Back the Night,7,23k,
56,Macklemore & Ryan Lewis - Can't Hold Us,7,24k,
57,Chris Brown - Love More,7,29k,
58,Kid Ink - Show Me,6,42k,
59,P!nk - Just Give Me a Reason,7,24k,
60,Ariana Grande - The Way,7,23k,
61,Eli Young Band - Drunk Last Night,7,23k,
62,P!nk - True Love,7,21k,
63,Cassadee Pope - Wasting All These Tears,7,22k,
64,Gavin DeGraw - Best I Ever Had,7,23k,
65,Lorde - Team,7,35k,
66,Train - Bruises,7,20k,
67,Avicii - Hey Brother,6,28k,
68,Maroon 5 - Love Somebody,7,22k,
69,Keith Urban & Miranda Lambert - We Were Us,7,30k,
70,Lana Del Rey - Young and Beautiful,7,24k,
71,Fall Out Boy - My Songs Know What You Did In the D...,7,21k,
72,Bonnie McKee - American Girl,7,19k,
73,Macklemore & Ryan Lewis - Thrift Shop,7,20k,
74,Tim McGraw - Southern Girl,7,21k,
75,Bastille - Pompeii,7,21k,
76,Calvin Harris - I Need Your Love,7,21k,
77,Labrinth - Beneath Your Beautiful,7,21k,
78,Darius Rucker - Wagon Wheel,7,19k,
79,T-Pain - Up Down,6,23k,
80,Blake Shelton - Boys 'Round Here,5,18k,
81,Zedd - Stay the Night,7,27k,
82,Joe Nichols - Sunny and 75,7,20k,
83,Keith Urban - Little Bit of Everything,7,21k,
84,Sheryl Crow - Easy,7,21k,
85,Craig Campbell - Outta My Head,7,18k,
86,B.o.B - HeadBand,7,18k,
87,Fifth Harmony - Miss Movin' On,1,15k,
88,Evanescence - Bring Me to Life,7,18k,
89,Karmin - Acapella,1,14k,
90,Selena Gomez - Come & Get It,4,17k,
91,Icona Pop - I Love It,4,16k,
92,Icona Pop - All Night,2,11k,
93,Cole Swindell - Chillin' It,5,17k,
94,YG - My Nigga,6,21k,
95,Flux Pavilion - I Can't Stop,4,18k,
96,Parmalee - Carolina,7,17k,
97,Bruno Mars - When I Was Your Man,3,16k,
98,The Killers - Shot At the Night,6,20k,
99,Justin Moore - Point At You,1,14k,
100,Pearl Jam - Sirens,3,12k,
101,Jack Johnson - I Got You,6,19k,
102,JAY Z - Tom Ford,3,16k,
103,Hunter Hayes - I Want Crazy,1,15k,
