,name,Top 100,end,change
0,Justin Timberlake - CAN'T STOP THE FEELING,14,206k,-45%
1,Drake - One Dance,45,132k,-19%
2,Desiigner - Panda,82,88k,-0%
3,The Chainsmokers - Don't Let Me Down,103,78k,-2%
4,Florida Georgia Line - H.O.L.Y.,21,77k,-16%
5,Calvin Harris - This Is What You Came For,21,58k,-18%
6,P!NK - Just Like Fire,35,57k,+14%
7,Lukas Graham - 7 Years,125,61k,-15%
8,Beyoncé - Sorry,25,52k,-11%
9,Mike Posner - I Took a Pill In Ibiza,128,58k,-17%
10,Ruth B. - Lost Boy,116,51k,+3%
11,Fifth Harmony - Work from Home,84,56k,-4%
12,Meghan Trainor - NO,77,60k,-3%
13,Meghan Trainor - Me Too,11,47k,+146%
14,Beyoncé - Formation,25,49k,-27%
15,Nick Jonas - Close,56,38k,+17%
16,Ariana Grande - Dangerous Woman,71,42k,-7%
17,James Bay - Let It Go,190,39k,-10%
18,Blake Shelton - Came Here to Forget,73,35k,-0%
19,Beyoncé - Hold Up,25,43k,-30%
20,Zara Larsson & MNEK - Never Forget You,98,37k,-6%
21,Flo Rida - My House,209,40k,-9%
22,Rihanna - Needed Me,89,32k,-4%
23,Disturbed - The Sound of Silence,145,32k,-8%
24,OneRepublic - Wherever I Go,7,29k,
25,Tim McGraw - Humble and Kind,120,32k,-9%
26,Adam Wakefield - I'm Sorry,4,54k,
27,DNCE - Cake By the Ocean,224,30k,-11%
28,Sia - Cheap Thrills,77,26k,+6%
29,Drake - Too Good,14,31k,-32%
30,twenty one pilots - Ride,57,25k,+20%
31,Blake Shelton - Go Ahead and Break My Heart,11,34k,-50%
32,Grace - You Don't Own Me,39,23k,+12%
33,Dierks Bentley - Somewhere on a Beach,122,27k,-3%
34,Kent Jones - Don't Mind,24,23k,+4%
35,ZAYN - PILLOWTALK,113,25k,-14%
36,Pitbull - Messin' Around,42,25k,+12%
37,Rihanna - Work,114,24k,-13%
38,Drake - Controlla,14,22k,-20%
39,Ghost Town DJs - My Boo,27,25k,-22%
40,Thomas Rhett - T-Shirt,88,21k,-9%
41,Justin Bieber - Love Yourself,189,23k,-15%
42,Drake - Pop Style,45,23k,-21%
43,twenty one pilots - Stressed Out,269,22k,-3%
44,Alisan Porter - Desperado,4,39k,
45,Keith Urban - The Fighter,8,51k,+118%
46,Blake Shelton - Straight Outta Cold Beer,7,19k,
47,X Ambassadors - Unsteady,53,19k,+31%
48,Beyoncé - 6 Inch,25,21k,-29%
49,"Luke Bryan - Huntin', Fishin' and Lovin' Every Day",59,21k,-15%
50,Maren Morris - My Church,120,23k,-15%
51,Kevin Gates - 2 Phones,135,20k,-3%
52,Carrie Underwood - Church Bells,39,18k,+4%
53,Charlie Puth - One Call Away,186,19k,-6%
54,Adele - Send My Love,53,12k,+115%
55,Kelsea Ballerini - Peter Pan,37,17k,-19%
56,"G-Eazy & Bebe Rexha - Me, Myself & I",203,18k,-8%
57,Future - Low Life,105,17k,-6%
58,Alessia Cara - Wild Things,85,16k,-8%
59,DJ Snake - Middle,123,17k,-17%
60,Kelly Clarkson - Piece By Piece,87,16k,-3%
61,Jon Pardi - Head Over Boots,91,16k,-2%
62,Chris Young - Think of You,119,17k,-18%
63,Eric Church - Record Year,41,16k,-1%
64,Fat Joe & Remy Ma - All the Way Up,45,16k,+4%
65,Ariana Grande - Into You,14,15k,-49%
66,Flume - Never Be Like You,53,15k,-4%
67,Jeremih - Oui,118,14k,-2%
68,Drake - Hype,14,16k,-40%
69,Dan + Shay - From the Ground Up,72,14k,-14%
70,Fetty Wap - Wake Up,14,11k,+131%
71,"gnash - i hate u, i love u",23,13k,+15%
72,Old Dominion - Snapback,113,14k,-9%
73,Jason Aldean - Lights Come On,46,14k,-12%
74,Jennifer Nettles - Unlove You,5,13k,+33%
75,Blake Shelton - Savior's Shadow,6,10k,+9%
76,ScHoolboy Q - THat Part,7,22k,
77,Keith Urban - Wasted Time,43,17k,-31%
78,Cole Swindell - You Should Be Here,158,16k,-49%
79,Rihanna - Kiss It Better,33,13k,-11%
80,Thomas Rhett - Die a Happy Man,245,13k,-15%
81,"Daya - Sit Still, Look Pretty",13,12k,+1%
82,Hannah Huston - When a Man Loves a Woman,4,24k,
83,Jason Derulo - If It Ain't Love,17,12k,-1%
84,Fitz & The Tantrums - HandClap,8,11k,+4%
85,Drake & Future - Jumpman,241,12k,-18%
86,The Lumineers - Ophelia,86,11k,-5%
87,Sam Hunt - Make You Miss Me,26,11k,-7%
88,Beyoncé - All Night,25,11k,-19%
89,Dreezy - Body,24,11k,+4%
90,Bryan Bautista - Hurt,4,23k,
91,Justin Bieber - Sorry,196,11k,-10%
92,Adele - Hello,194,11k,-22%
93,Ariana Grande - Let Me Love You,12,8k,+27%
94,Beyoncé - Freedom,23,11k,-31%
95,Dustin Lynch - Mind Reader,66,11k,-5%
96,Beyoncé - Don't Hurt Your...,25,11k,-29%
97,Kevin Gates - Really Really,121,11k,+7%
98,Elle King - America's Sweetheart,43,11k,-11%
99,O.T. Genasis - Cut It,3,10k,+19%
100,Jake Owen - American Country Love Song,28,10k,-4%
101,Chris Stapleton - Tennessee Whiskey,167,11k,-2%
102,Beyoncé - Daddy Lessons,19,10k,-20%
103,The Chainsmokers - Roses,215,11k,-8%
104,Mary Sarah - I Told You So,3,23k,
105,Brad Paisley - Without a Fight,7,15k,
106,Alicia Keys - In Common,11,9k,-40%
107,Iggy Azalea - Team,60,11k,-21%
108,Beyoncé - Pray You Catch ...,18,11k,-6%
109,Kenny Chesney - Noise,32,11k,-12%
110,Mark Ronson - Uptown Funk,504,11k,-3%
111,Laith Al-Saadi - One and Only,3,17k,
112,Red Hot Chili Peppers - Dark Necessities,12,12k,-45%
113,Demi Lovato - Stone Cold,28,7k,+13%
114,Alan Walker - Faded,4,10k,-7%
115,Selena Gomez - Hands To Myself,146,10k,-1%
116,Future - Wicked,12,10k,+13%
117,Beyoncé - Sandcastles,15,10k,-19%
118,Shawn Mendes - Stitches,335,9k,+5%
119,Drake - Still Here,7,10k,-35%
120,Rachel Platten - Fight Song,358,9k,-1%
121,Meghan Trainor - Like I'm Gonna Lose You,334,9k,+3%
122,Belly - Might Not,23,9k,-7%
123,Nichole Nordeman - Slow Down,6,7k,-31%
124,Taylor Swift - New Romantics,75,9k,-11%
125,Rachel Platten - Stand By You,199,10k,-13%
126,The Strumbellas - Spirits,,8k,+2%
127,Jennifer Lopez - Ain't Your Mama,16,9k,-36%
128,Chris Lane - Fix,7,9k,-2%
129,Thomas Rhett - Vacation,,8k,+9%
130,Kygo - Stay,8,8k,+137%
131,Troye Sivan - YOUTH,80,9k,-16%
132,Elle King - Ex's & Oh's,312,8k,-2%
133,Chris Stapleton - Fire Away,28,9k,+0%
134,David Guetta - This One's for You,1,9k,
135,Major Lazer - Light It Up,,8k,+14%
136,Wiz Khalifa - See You Again,311,8k,+4%
137,Madeintyo - Uber Everywhere,,8k,-3%
138,Kaleo - Way Down We Go,2,7k,-0%
139,Coldplay - Adventure of a Lifetime,146,8k,+10%
140,Kygo - Stole the Show,7,8k,+114%
141,Rascal Flatts - I Like the Sound of That,64,8k,-13%
142,Lauren Daigle - Trust In You,13,8k,-10%
143,Dierks Bentley - Black,,8k,
144,Meghan Trainor - Mom,8,9k,-38%
145,Drake - Childs Play,,8k,-20%
146,Fetty Wap - 679,287,7k,+2%
147,Frankie Ballard - It All Started with a Beer,,7k,-11%
